name,age,sex,love_in,love_out_land,love_out_sky,city,area,building
张三0,29,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三1,78,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三2,74,男,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三3,18,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三4,32,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三5,40,女,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三6,100,女,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三7,99,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三8,56,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三9,10,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三10,29,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三11,34,女,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三12,53,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三13,93,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三14,29,男,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三15,86,男,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三16,79,男,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三17,56,男,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三18,32,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三19,59,男,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三20,63,女,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三21,12,女,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三22,10,女,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三23,70,女,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三24,28,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三25,83,男,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三26,48,男,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三27,39,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
