name,age,sex,love_in,love_out_land,love_out_sky,city,area,building,_row_head_
张三0,93,男,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三1,36,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三2,85,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三3,20,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三4,64,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三5,67,男,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三6,88,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三7,44,男,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三8,63,男,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三9,61,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三10,77,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三11,79,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三12,91,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三13,57,男,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三14,85,男,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三15,46,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三16,12,男,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三17,98,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三18,36,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三19,31,女,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三20,87,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三21,70,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三22,26,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三23,87,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三24,54,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三25,21,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三26,49,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三27,21,男,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三28,50,男,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三29,34,男,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三30,50,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三31,94,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三32,92,女,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三33,37,男,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三34,90,女,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三35,79,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三36,89,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三37,21,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三38,62,男,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三39,72,女,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三40,52,男,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三41,76,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三42,69,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三43,10,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三44,59,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三45,31,男,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三46,98,男,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三47,24,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三48,21,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三49,67,男,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三50,55,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三51,38,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三52,23,男,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三53,63,女,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三54,24,女,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三55,29,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三56,11,女,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三57,51,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三58,85,女,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三59,72,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三60,68,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三61,45,女,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三62,69,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三63,66,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三64,97,女,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三65,96,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三66,48,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三67,18,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三68,21,男,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三69,69,男,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三70,17,女,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三71,48,女,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三72,84,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三73,23,女,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三74,60,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三75,64,女,乒乓球,爬山,跳伞,上海,区域名称,小区名,
张三76,14,女,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三77,10,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三78,65,女,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三79,63,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三80,53,女,乒乓球,跑步,跳伞,上海,区域名称,小区名,
张三81,64,男,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三82,82,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三83,56,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三84,43,男,羽毛球,跑步,跳伞,上海,区域名称,小区名,
张三85,16,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三86,75,男,羽毛球,爬山,跳伞,上海,区域名称,小区名,
张三87,21,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三88,99,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名,
张三89,78,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三90,31,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三91,75,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
张三92,14,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名,
张三93,84,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名,
张三94,29,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名,
