name,age,sex,love_in,love_out_land,love_out_sky,city,area,building
张三0,47,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三1,40,男,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三2,24,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三3,82,女,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三4,64,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三5,51,男,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三6,86,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三7,51,女,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三8,85,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三9,13,女,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三10,38,男,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三11,67,女,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三12,37,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三13,58,男,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三14,66,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三15,49,男,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三16,90,女,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三17,23,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三18,56,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三19,40,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三20,38,男,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三21,35,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三22,96,女,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三23,40,女,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三24,14,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三25,90,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三26,64,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三27,90,男,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三28,34,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三29,97,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三30,72,男,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三31,77,男,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三32,36,男,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三33,64,女,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三34,74,男,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三35,12,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三36,27,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三37,78,男,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三38,46,女,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三39,74,女,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三40,11,男,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三41,45,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三42,48,男,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三43,47,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三44,50,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三45,41,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三46,51,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三47,87,男,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三48,19,女,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三49,78,女,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三50,67,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三51,62,女,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三52,23,女,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三53,14,男,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三54,25,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三55,80,男,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三56,11,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三57,51,女,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三58,10,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三59,100,女,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三60,100,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三61,97,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三62,84,女,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三63,21,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三64,74,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三65,44,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三66,68,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三67,70,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三68,85,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三69,38,男,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三70,30,女,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三71,55,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三72,10,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三73,77,男,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三74,31,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三75,70,男,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三76,80,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三77,55,女,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三78,11,男,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三79,62,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三80,99,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三81,63,男,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三82,51,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三83,51,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三84,76,女,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三85,16,女,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三86,12,男,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三87,50,男,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三88,83,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三89,71,男,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三90,30,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三91,53,女,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三92,47,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三93,48,女,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三94,59,女,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三95,36,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三96,79,男,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三97,23,男,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三98,47,女,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三99,89,男,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三100,56,男,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三101,64,女,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三102,93,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三103,19,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三104,63,女,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三105,63,女,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三106,30,男,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三107,40,女,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三108,89,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三109,56,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三110,19,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三111,83,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三112,76,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三113,40,女,羽毛球,爬山,跳伞,上海,区域名称,小区名
