name,age,sex,love_in,love_out_land,love_out_sky,city,area,building
张三0,89,女,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三1,69,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三2,46,女,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三3,66,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三4,28,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三5,19,男,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三6,69,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三7,49,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三8,83,男,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三9,44,男,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三10,51,女,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三11,75,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三12,11,男,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三13,63,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三14,67,男,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三15,66,女,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三16,55,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三17,85,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三18,49,女,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三19,16,女,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三20,84,女,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三21,29,男,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三22,36,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三23,100,男,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三24,74,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三25,88,男,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三26,47,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三27,60,女,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三28,23,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三29,74,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三30,45,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三31,55,男,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三32,54,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三33,15,女,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三34,17,男,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三35,25,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三36,40,女,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三37,68,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三38,32,女,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三39,76,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三40,88,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三41,46,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三42,32,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三43,84,男,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三44,50,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三45,96,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三46,45,女,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三47,74,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
