name,age,sex,love_in,love_out_land,love_out_sky,city,area,building
张三0,68,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三1,48,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三2,54,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三3,69,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三4,20,女,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三5,58,男,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三6,40,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三7,73,男,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三8,11,女,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三9,11,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三10,29,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三11,27,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三12,64,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三13,13,男,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三14,79,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三15,11,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三16,68,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三17,56,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三18,10,男,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三19,38,男,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三20,92,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三21,25,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三22,37,女,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三23,10,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三24,40,女,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三25,91,男,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三26,85,男,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三27,90,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三28,10,男,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三29,96,女,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三30,27,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三31,78,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三32,18,男,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三33,52,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三34,29,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三35,33,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三36,74,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三37,82,男,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三38,23,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三39,38,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三40,81,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三41,64,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三42,55,男,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三43,41,女,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三44,48,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三45,15,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三46,88,男,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三47,48,女,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三48,15,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三49,18,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三50,29,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三51,56,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三52,52,女,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三53,21,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三54,48,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名
