name,age,sex,love_in,love_out_land,love_out_sky,city,area,building
张三0,69,男,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三1,86,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三2,57,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三3,98,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三4,82,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三5,19,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三6,12,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三7,43,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三8,91,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三9,100,男,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三10,23,女,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三11,72,女,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三12,77,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三13,62,男,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三14,34,女,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三15,96,男,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三16,83,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三17,54,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三18,53,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三19,66,男,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三20,75,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三21,92,男,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三22,62,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三23,89,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三24,17,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三25,28,男,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三26,97,男,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三27,99,男,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三28,57,女,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三29,55,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三30,48,女,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三31,74,女,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三32,50,男,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三33,22,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三34,71,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三35,58,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三36,83,女,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三37,78,男,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三38,13,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三39,87,女,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三40,78,女,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三41,65,女,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三42,58,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三43,97,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三44,26,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三45,71,男,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三46,33,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三47,98,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三48,61,女,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三49,69,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三50,57,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三51,35,女,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三52,58,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三53,96,女,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三54,90,女,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三55,98,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三56,25,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三57,79,女,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三58,49,女,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三59,60,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三60,60,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三61,73,女,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三62,69,女,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三63,15,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三64,74,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三65,12,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三66,78,女,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三67,10,男,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三68,91,女,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三69,18,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三70,56,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三71,75,男,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三72,96,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三73,86,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三74,35,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三75,38,女,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三76,58,男,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三77,35,女,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三78,68,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三79,35,女,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三80,93,女,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三81,97,女,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三82,36,女,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三83,85,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
