name,age,sex,love_in,love_out_land,love_out_sky,city,area,building
张三0,95,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三1,71,男,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三2,83,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三3,82,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三4,17,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三5,72,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三6,55,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三7,33,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三8,85,男,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三9,83,女,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三10,36,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三11,14,男,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三12,18,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三13,86,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三14,13,女,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三15,16,男,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三16,41,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三17,87,男,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三18,75,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三19,63,男,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三20,73,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三21,22,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三22,66,女,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三23,67,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三24,95,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三25,28,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三26,63,女,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三27,30,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三28,64,男,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三29,50,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三30,87,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三31,73,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三32,60,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三33,18,女,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三34,74,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三35,16,男,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三36,36,男,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三37,81,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三38,30,女,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三39,100,男,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三40,90,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三41,16,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三42,20,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三43,45,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三44,70,男,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三45,69,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三46,73,女,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三47,64,女,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三48,35,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三49,62,女,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三50,13,女,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三51,97,男,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三52,92,男,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三53,58,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三54,99,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三55,75,女,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三56,96,男,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三57,88,男,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三58,67,女,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三59,95,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三60,47,女,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三61,48,女,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三62,56,男,乒乓球,爬山,跳伞,上海,区域名称,小区名
张三63,14,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三64,57,男,乒乓球,跑步,跳伞,深圳,区域名称,小区名
张三65,62,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三66,37,女,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三67,96,男,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三68,72,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三69,25,女,羽毛球,跑步,跳伞,上海,区域名称,小区名
张三70,44,女,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三71,61,男,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三72,62,男,乒乓球,跑步,跳伞,上海,区域名称,小区名
张三73,80,男,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三74,28,女,乒乓球,爬山,跳伞,深圳,区域名称,小区名
张三75,46,男,羽毛球,爬山,跳伞,上海,区域名称,小区名
张三76,78,男,羽毛球,跑步,跳伞,深圳,区域名称,小区名
张三77,49,女,羽毛球,爬山,跳伞,深圳,区域名称,小区名
张三78,95,女,羽毛球,爬山,跳伞,上海,区域名称,小区名
